Genre,Sub-genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (Seconds)
Pop,Dance Pop,0.678,0.928,D sharp/E flat,-3.66,Minor,0.0597,0.0303,3.33e-5,0.143,0.663,116.892,150.16
Pop,Dance Pop,0.67,0.453,C,-11.265,Major,0.295,0.252,0.33,0.117,0.68,135.055,194.84
Pop,Dance Pop,0.755,0.931,C sharp/D flat,-4.104,Minor,0.0606,0.132,0.0271,0.0854,0.288,122.041,177.466
Pop,Dance Pop,0.622,0.859,F,-7.626,Major,0.0636,6.09e-4,0.746,0.0909,0.442,121.968,218.373
Pop,Dance Pop,0.789,0.893,A sharp/B flat,-4.364,Minor,0.168,0.0538,0,0.221,0.41,121.956,144.073
Pop,Dance Pop,0.64,0.838,F sharp/G flat,-4.203,Major,0.0416,0.0588,1.99e-5,0.0424,0.587,124.081,193.861
Pop,Dance Pop,0.609,0.764,F,-4.564,Minor,0.111,0.0994,0,0.197,0.531,128.082,200.625
Pop,Dance Pop,0.64,0.992,E,-3.318,Minor,0.0585,0.0832,0.0083,0.109,0.479,123.951,166.237
Pop,Dance Pop,0.75,0.81,C,-4.607,Minor,0.0572,0.0917,1.59e-5,0.111,0.48,120.038,171.5
Pop,Dance Pop,0.535,0.956,C sharp/D flat,-2.996,Minor,0.0343,6.09e-4,0.0109,0.262,0.12,127.984,266.719
Pop,Dance Pop,0.766,0.771,F sharp/G flat,-9.108,Major,0.0576,0.00407,3.76e-6,0.113,0.297,140.036,204.027
Pop,Dance Pop,0.649,0.821,A sharp/B flat,-4.952,Minor,0.0472,0.017,3.47e-4,0.0655,0.394,125.977,203.968
Pop,Dance Pop,0.588,0.697,D sharp/E flat,-4.744,Minor,0.0372,0.186,2.19e-4,0.103,0.225,125.157,190.417
Pop,Dance Pop,0.355,0.789,F,-4.358,Minor,0.165,0.0148,0,0.0355,0.169,80.444,237.686
Pop,Dance Pop,0.542,0.84,C,-5.283,Minor,0.0419,0.0336,8.45e-5,0.277,0.509,118.02,180.361
Pop,Dance Pop,0.735,0.5,G sharp/A flat,-11.297,Major,0.0511,0.415,3.12e-5,0.13,0.119,126.1,139.048
Pop,Dance Pop,0.752,0.84,F sharp/G flat,-4.451,Minor,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279.8
Pop,Dance Pop,0.748,0.903,D sharp/E flat,-5.877,Minor,0.0385,0.0324,0,0.106,0.751,115.018,217.043
Pop,Dance Pop,0.607,0.955,G,-3.613,Minor,0.102,0.0163,0.121,0.0725,0.501,125.984,230.476
Pop,Dance Pop,0.607,0.995,A,-2.325,Minor,0.0487,0.0921,0.002,0.0445,0.664,124.998,188.64
Pop,Dance Pop,0.679,0.786,C sharp/D flat,-6.918,Minor,0.132,0.119,5.89e-6,0.224,0.47,126.092,196.613
Pop,Dance Pop,0.714,0.801,F,-5.8,Minor,0.0301,0.0204,0.00615,0.334,0.292,124.015,210
Pop,Dance Pop,0.69,0.862,D,-4.154,Major,0.0944,0.0611,1.85e-5,0.238,0.453,121.975,187.869
Pop,Dance Pop,0.775,0.867,E,-7.388,Minor,0.204,0.0158,0.0117,0.0355,0.565,128.956,273.229
Pop,Dance Pop,0.814,0.838,B,-5.547,Major,0.0763,0.001,0.0223,0.0185,0.959,121.978,255.861
Pop,Dance Pop,0.784,0.779,G sharp/A flat,-5.48,Major,0.0387,0.0357,0.025,0.0245,0.459,124.994,216.714
Pop,Dance Pop,0.367,0.783,F sharp/G flat,-4.504,Major,0.154,0.00515,0,0.0545,0.289,88.013,192.653
Pop,Dance Pop,0.609,0.83,F sharp/G flat,-3.759,Minor,0.0793,0.201,6.18e-5,0.0321,0.604,117.833,238.451
Pop,Dance Pop,0.591,0.702,G,-5.59,Major,0.0289,0.225,0,0.414,0.501,104.003,217.653
Pop,Dance Pop,0.59,0.642,G,-3.87,Major,0.122,0.0771,0,0.105,0.651,107.356,174.444
Pop,Dance Pop,0.791,0.565,F,-3.933,Minor,0.0439,0.0623,0,0.156,0.181,99.961,156.347
Pop,Dance Pop,0.564,0.747,F,-3.374,Major,0.0584,0.0728,0,0.151,0.717,97.878,165.767
Pop,Dance Pop,0.669,0.801,G sharp/A flat,-5.445,Major,0.136,0.268,0,0.0594,0.541,109.919,201.072
Pop,Dance Pop,0.77,0.882,G sharp/A flat,-4.792,Major,0.0602,0.194,0,0.316,0.385,99.991,223.523
Pop,Dance Pop,0.513,0.788,C,-4.629,Major,0.0364,0.00968,0,0.11,0.234,139.987,238.459
Pop,Dance Pop,0.72,0.864,C,-3.249,Major,0.208,0.0856,0,0.16,0.659,96.048,191.612
Pop,Dance Pop,0.789,0.858,F,-4.388,Major,0.0404,0.22,4.58e-5,0.335,0.491,110.012,173.455
Pop,Dance Pop,0.294,0.505,D sharp/E flat,-8.106,Major,0.042,0.12,0,0.0977,0.357,85.332,209.893
Pop,Dance Pop,0.665,0.799,F sharp/G flat,-2.868,Minor,0.0617,0.18,0,0.125,0.5,101.976,228.112
Pop,Dance Pop,0.46,0.8,C sharp/D flat,-3.584,Major,0.05,0.289,6.16e-6,0.121,0.553,102.46,220.396
Pop,Dance Pop,0.362,0.921,C sharp/D flat,-3.815,Minor,0.486,0.123,0,0.19,0.529,172.191,180.84
Pop,Dance Pop,0.686,0.83,G sharp/A flat,-4.437,Major,0.0369,0.0948,1.33e-6,0.182,0.486,123.032,214.634
Pop,Dance Pop,0.618,0.66,B,-8.14,Minor,0.0372,0.0292,2.07e-6,0.325,0.408,105,210.944
Pop,Dance Pop,0.665,0.699,B,-5.265,Major,0.0578,0.423,0,0.0969,0.585,124.896,190.932
Pop,Dance Pop,0.661,0.725,F sharp/G flat,-4.859,Major,0.0563,0.0253,0,0.123,0.605,119.927,197.939
Pop,Dance Pop,0.571,0.752,D sharp/E flat,-4.872,Major,0.0293,0.0196,6.92e-5,0.114,0.25,102.043,192.941
Pop,Dance Pop,0.591,0.705,A,-6.519,Minor,0.079,0.381,1.16e-4,0.131,0.27,121.799,215.316
Pop,Dance Pop,0.652,0.898,G,-4.481,Minor,0.0361,0.29,0,0.073,0.472,114.043,193.377
Pop,Dance Pop,0.706,0.855,A sharp/B flat,-5.377,Major,0.215,0.0911,0,0.347,0.293,107.184,201.253
Pop,Dance Pop,0.404,0.806,D,-4.75,Major,0.0496,0.198,0,0.114,0.112,148.036,220.73
Pop,Dance Pop,0.876,0.856,E,-3.884,Major,0.0486,0.0812,1.29e-6,0.457,0.685,121.991,185.062
Pop,Dance Pop,0.802,0.645,F,-6.181,Minor,0.0715,0.272,0,0.119,0.376,100.001,157.202
Pop,Dance Pop,0.906,0.832,F,-3.004,Minor,0.0718,0.0909,0,0.152,0.751,104.03,159.753
Pop,Dance Pop,0.753,0.657,G,-3.061,Major,0.0449,0.171,0,0.112,0.437,107.01,184.732
Pop,Dance Pop,0.693,0.674,F,-4.449,Major,0.0723,0.185,0,0.0639,0.378,95.972,160.998
Pop,Dance Pop,0.672,0.815,C sharp/D flat,-6.476,Minor,0.0981,0.00246,0,0.577,0.341,115.033,226.093
Pop,Dance Pop,0.581,0.76,C,-3.962,Major,0.0406,0.16,0,0.183,0.523,104.099,205.787
Pop,Dance Pop,0.643,0.594,D,-5.453,Major,0.0318,0.0128,0,0.118,0.442,144.033,216.668
Pop,Dance Pop,0.674,0.881,A,-2.853,Major,0.147,0.296,3.01e-6,0.0793,0.234,98.994,178.48
Pop,Dance Pop,0.691,0.538,C,-9.952,Major,0.103,0.246,0.163,0.178,0.329,99.972,182.668
Pop,Dance Pop,0.661,0.758,G,-5.299,Major,0.0864,0.0797,0,0.106,0.387,114.098,224.061
Pop,Dance Pop,0.653,0.69,C sharp/D flat,-5.003,Major,0.0756,0.109,0,0.136,0.652,110.214,178.501
Pop,Dance Pop,0.734,0.693,C,-6.474,Major,0.0361,0.0878,0,0.341,0.55,110.021,154.024
Pop,Dance Pop,0.663,0.696,B,-5.994,Major,0.0349,0.0563,6.25e-6,0.226,0.449,139.98,197.88
Pop,Dance Pop,0.55,0.899,F,-3.284,Minor,0.0458,0.0113,9.65e-5,0.137,0.408,125.85,170.079
Pop,Dance Pop,0.703,0.868,G,-4.661,Minor,0.0291,0.15,0.132,0.104,0.733,121.03,193.613
Pop,Dance Pop,0.44,0.635,B,-6.385,Major,0.0326,0.129,0,0.121,0.327,128.133,207.095
Pop,Dance Pop,0.625,0.707,D,-4.761,Major,0.0337,0.22,0,0.213,0.479,138.064,248.156
Pop,Dance Pop,0.625,0.719,E,-5.541,Major,0.0612,0.048,0,0.0668,0.326,101.091,202.072
Pop,Dance Pop,0.547,0.795,G sharp/A flat,-3.721,Major,0.0489,0.145,0,0.11,0.723,118.118,186.805
Pop,Dance Pop,0.673,0.596,A sharp/B flat,-7.891,Major,0.0354,0.166,0,0.11,0.19,123.969,208.567
Pop,Dance Pop,0.699,0.633,F sharp/G flat,-6.547,Major,0.0362,0.0453,0,0.101,0.458,123.449,184.533
Pop,Dance Pop,0.647,0.726,D sharp/E flat,-4.389,Minor,0.0552,0.157,0,0.0844,0.767,114.996,198.996
Pop,Dance Pop,0.588,0.67,C,-6.439,Major,0.0473,0.0104,3.33e-6,0.338,0.505,118.159,238.173
Pop,Dance Pop,0.655,0.427,D,-11.684,Minor,0.0799,0.295,0.00108,0.0788,0.224,107.992,215.446
Pop,Dance Pop,0.79,0.865,F sharp/G flat,-4.159,Major,0.0438,0.0264,0.0892,0.24,0.362,122.99,189.165
Pop,Dance Pop,0.611,0.737,C,-5.154,Minor,0.0476,0.0145,0,0.107,0.574,124.169,200.318
Pop,Dance Pop,0.726,0.763,E,-6.872,Major,0.0882,0.524,2.64e-6,0.0943,0.516,128.02,160.312
Pop,Dance Pop,0.714,0.705,A sharp/B flat,-6.479,Major,0.0995,0.292,3.86e-4,0.126,0.471,114.994,219.521
Pop,Dance Pop,0.619,0.938,F,-5.245,Major,0.35,0.0257,1.39e-5,0.128,0.601,94.38,207.428
Pop,Dance Pop,0.575,0.808,C sharp/D flat,-4.578,Major,0.0439,0.0446,0,0.0693,0.232,127.922,179.531
Pop,Dance Pop,0.768,0.808,F,-1.818,Major,0.112,0.00627,5.33e-6,0.343,0.664,119.971,166
Pop,Dance Pop,0.767,0.605,F sharp/G flat,-5.737,Minor,0.188,0.559,3.63e-4,0.193,0.657,107.042,203.2
Pop,Dance Pop,0.466,0.612,G sharp/A flat,-4.855,Minor,0.0307,0.0655,4.07e-6,0.132,0.236,128.114,239.067
Pop,Dance Pop,0.434,0.917,A,-3.613,Minor,0.0633,0.301,1.8e-5,0.289,0.622,121.967,147.554
Pop,Dance Pop,0.744,0.79,G sharp/A flat,-4.617,Minor,0.0562,0.0547,8.02e-4,0.32,0.847,125.002,188.64
Pop,Dance Pop,0.837,0.818,G sharp/A flat,-4.474,Minor,0.0533,0.0527,0.00642,0.11,0.484,109.993,157.159
Pop,Dance Pop,0.514,0.856,D,-4.285,Major,0.0717,0.00123,6.34e-6,0.544,0.351,117.014,228.502
Pop,Dance Pop,0.69,0.622,F,-5.025,Minor,0.0622,0.253,0,0.116,0.544,102.04,210.091
Pop,Dance Pop,0.466,0.869,D sharp/E flat,-4.275,Major,0.0529,0.0142,0.00241,0.115,0.185,126.113,187.15
Pop,Dance Pop,0.842,0.801,G sharp/A flat,-4.167,Minor,0.228,0.157,4.82e-6,0.0642,0.617,95.881,212.5
Pop,Dance Pop,0.748,0.524,G sharp/A flat,-5.599,Major,0.0338,0.414,0,0.111,0.661,95.01,244.96
Pop,Dance Pop,0.647,0.624,A,-8.446,Major,0.0451,0.025,0.056,0.0616,0.477,115.002,243.091
Pop,Dance Pop,0.509,0.781,G sharp/A flat,-3.48,Major,0.072,0.0398,0,0.0749,0.176,128,271.427
Pop,Dance Pop,0.737,0.636,B,-4.546,Minor,0.0437,0.0441,6.66e-5,0.35,0.565,105.005,222.653
Pop,Dance Pop,0.584,0.54,C sharp/D flat,-7.786,Minor,0.0576,0.0895,0,0.261,0.195,137.972,220.883
Pop,Dance Pop,0.743,0.733,G sharp/A flat,-5.337,Major,0.0375,0.00402,0,0.304,0.622,104.977,189.467
Pop,Dance Pop,0.721,0.716,A sharp/B flat,-7.037,Minor,0.0657,0.0334,8.4e-4,0.237,0.667,104.994,221.714
Pop,Dance Pop,0.781,0.768,B,-5.991,Major,0.0394,0.0119,4.9099999999999996e-006,0.325,0.486,123.07,213.309
Pop,Dance Pop,0.737,0.828,B,-4.711,Major,0.0396,0.0149,5.83e-4,0.0862,0.517,124.052,208.474
Pop,Dance Pop,0.57,0.763,C sharp/D flat,-4.137,Major,0.0573,0.0857,2.49e-6,0.0932,0.43,150.088,239.853
Pop,Dance Pop,0.551,0.651,G sharp/A flat,-5.828,Minor,0.0594,0.225,0,0.224,0.562,144.875,194.907
Pop,Dance Pop,0.617,0.635,B,-6.769,Minor,0.0317,0.0498,1.44e-5,0.164,0.446,103.019,247.16
Pop,Dance Pop,0.791,0.862,A,-3.24,Minor,0.11,0.037,2.19e-5,0.0814,0.592,123.994,214.847
Pop,Dance Pop,0.503,0.748,F,-4.124,Major,0.0619,0.0305,0,0.343,0.356,125.896,210.013
Pop,Dance Pop,0.64,0.533,C,-6.596,Major,0.0706,0.119,0,0.0864,0.515,99.968,220.781
Pop,Dance Pop,0.658,0.677,F,-6.628,Major,0.0393,0.248,0,0.368,0.248,124.91,251.627
Pop,Dance Pop,0.649,0.716,G sharp/A flat,-5.371,Major,0.0349,0.0863,2.63e-5,0.135,0.163,99.988,205.947
Pop,Dance Pop,0.713,0.802,E,-7.055,Major,0.0561,0.0435,0.00377,0.309,0.343,100.001,226.739
Pop,Dance Pop,0.596,0.738,G sharp/A flat,-3.109,Major,0.0411,0.109,0,0.0947,0.461,127.961,217.347
Pop,Dance Pop,0.503,0.727,C sharp/D flat,-5.456,Major,0.167,0.0159,9.45e-5,0.0895,0.521,121.985,255.632
Pop,Dance Pop,0.609,0.726,F,-4.346,Minor,0.0414,0.0723,8.45e-6,0.0895,0.362,93.958,195
Pop,Dance Pop,0.654,0.76,C,-3.669,Minor,0.045,0.0797,0,0.299,0.41,99.945,200.787
Pop,Dance Pop,0.63,0.928,A,-2.787,Minor,0.0331,0.199,0.124,0.148,0.465,123.963,222.16
Pop,Dance Pop,0.532,0.783,D,-5.697,Major,0.0523,0.0038,0.0012,0.161,0.643,124.08,247.427
Pop,Dance Pop,0.694,0.77,F sharp/G flat,-5.335,Major,0.149,0.176,1.1e-5,0.118,0.163,125.905,184.56
Pop,Dance Pop,0.604,0.787,C,-3.674,Minor,0.103,0.0679,0.15,0.127,0.301,126.062,245.04
Pop,Dance Pop,0.432,0.74,G,-5.053,Major,0.062,0.0342,6.59e-6,0.14,0.193,139.42,242.52
Pop,Dance Pop,0.638,0.832,G sharp/A flat,-5.039,Major,0.049,0.141,0,0.113,0.648,124.071,227.893
Pop,Dance Pop,0.759,0.716,B,-6.36,Minor,0.0818,0.0223,0,0.231,0.469,105.009,209.733
Pop,Dance Pop,0.614,0.832,B,-3.419,Minor,0.0522,0.11,0,0.185,0.429,129.038,213.169
Pop,Dance Pop,0.669,0.832,C,-5.72,Major,0.0682,0.0106,0,0.0968,0.7,113.035,237.547
Pop,Dance Pop,0.702,0.781,C,-4.081,Major,0.03,0.433,0,0.135,0.382,102.997,286.322
Pop,Dance Pop,0.851,0.806,E,-4.618,Major,0.0786,0.12,1.33e-6,0.121,0.776,119.001,237.2
Pop,Dance Pop,0.738,0.868,B,-4.373,Minor,0.0731,0.0389,0.00171,0.388,0.336,122.003,212.64
Pop,Dance Pop,0.57,0.672,G sharp/A flat,-5.89,Minor,0.0723,0.177,0,0.0768,0.448,120.019,208.222
Pop,Dance Pop,0.67,0.89,F,-3.785,Minor,0.0576,0.122,0,0.333,0.568,124.967,206.44
Pop,Dance Pop,0.708,0.727,A,-7.647,Major,0.0389,0.0201,0.676,0.37,0.512,120.012,231.48
Pop,Dance Pop,0.654,0.787,E,-4.999,Major,0.0502,0.00515,0,0.144,0.409,123.978,164.49
Pop,Dance Pop,0.945,0.584,F sharp/G flat,-7.649,Minor,0.044,0.0955,0.341,0.147,0.626,124.996,168.547
Pop,Dance Pop,0.704,0.929,C,-4.447,Major,0.0395,0.0395,0.0249,0.181,0.633,126.055,155.238
Pop,Dance Pop,0.765,0.906,G sharp/A flat,-2.097,Minor,0.0965,0.125,0,0.423,0.95,96.071,184.558
Pop,Dance Pop,0.682,0.855,G,-3.282,Major,0.0401,0.0566,1e-6,0.101,0.304,124.004,198.743
Pop,Dance Pop,0.627,0.662,G,-7.104,Minor,0.0349,0.0922,1.66e-4,0.143,0.596,124.039,159.194
Pop,Dance Pop,0.762,0.736,G,-7.66,Major,0.0778,0.135,0.0538,0.113,0.248,126.007,165.714
Pop,Dance Pop,0.577,0.844,G,-3.364,Major,0.0406,0.00407,6.13e-6,0.499,0.283,115.066,183.653
Pop,Dance Pop,0.632,0.816,G sharp/A flat,-4.584,Major,0.0349,0.00205,0.106,0.119,0.134,127.95,202.5
Pop,Dance Pop,0.598,0.526,A sharp/B flat,-8.659,Minor,0.0415,0.129,0,0.14,0.529,123.935,168.387
Pop,Dance Pop,0.825,0.841,C,-6.433,Major,0.135,0.0906,0.00411,0.258,0.616,126.026,184.582
Pop,Dance Pop,0.63,0.731,F sharp/G flat,-4.985,Major,0.0352,0.0191,7.82e-6,0.704,0.46,119.997,240
Pop,Dance Pop,0.795,0.899,C,-4.202,Major,0.0685,0.00235,3.92e-4,0.199,0.329,125.978,198.839
Pop,Dance Pop,0.529,0.717,F sharp/G flat,-7.049,Minor,0.24,0.123,7.07e-4,0.0363,0.481,103.99,257.943
Pop,Dance Pop,0.7,0.872,A sharp/B flat,-5.896,Major,0.0666,0.121,7.08e-6,0.103,0.761,125.03,190.302
Pop,Dance Pop,0.791,0.541,C sharp/D flat,-7.14,Major,0.054,0.123,4.74e-5,0.121,0.433,115.987,154.654
Pop,Dance Pop,0.904,0.633,C,-5.545,Major,0.0958,0.203,2.66e-4,0.163,0.492,121.995,179.016
Pop,Dance Pop,0.744,0.725,B,-6.055,Major,0.0303,0.018,9.29e-6,0.212,0.904,118.034,167.859
Pop,Dance Pop,0.772,0.687,A,-6.348,Minor,0.211,0.0528,0,0.834,0.59,118.116,154.286
Pop,Dance Pop,0.706,0.524,F sharp/G flat,-8.804,Major,0.026,0.127,0.00129,0.109,0.296,111.991,183.183
Pop,Dance Pop,0.664,0.699,B,-7.115,Minor,0.27,0.0352,0,0.0612,0.252,122.019,216.256
Pop,Dance Pop,0.781,0.745,C sharp/D flat,-4.942,Minor,0.0374,0.0814,9.71e-5,0.106,0.498,110.051,158.091
Pop,Dance Pop,0.789,0.547,A,-8.738,Minor,0.0748,0.072,9.21e-5,0.0782,0.48,120.024,203.227
Pop,Dance Pop,0.575,0.808,C sharp/D flat,-4.578,Major,0.0439,0.0446,0,0.0693,0.232,127.922,179.531
Pop,Dance Pop,0.669,0.797,A,-5.68,Minor,0.0624,0.259,0,0.199,0.552,119.865,185.943
Pop,Dance Pop,0.567,0.946,F,-2.245,Minor,0.0541,0.0978,1.37e-6,0.0836,0.295,104.983,208.367
Pop,Dance Pop,0.653,0.757,D sharp/E flat,-3.642,Major,0.0555,0.0997,0,0.242,0.233,128.015,204.591
Pop,Dance Pop,0.721,0.779,F sharp/G flat,-4.239,Minor,0.0606,0.142,0,0.143,0.327,110.026,169.964
Pop,Dance Pop,0.534,0.765,C sharp/D flat,-3.151,Major,0.0338,0.0915,0.00107,0.225,0.117,127.978,172.52
Pop,Dance Pop,0.651,0.693,E,-4.722,Major,0.0375,0.458,0,0.335,0.392,118.97,236.765
Pop,Dance Pop,0.682,0.923,C,-3.273,Major,0.0364,0.00395,3e-5,0.242,0.37,130.052,153.231
Pop,Dance Pop,0.66,0.827,A sharp/B flat,-5.081,Major,0.0789,0.429,0,0.0923,0.611,115.349,167.249
Pop,Dance Pop,0.57,0.965,F sharp/G flat,-4.881,Minor,0.0348,0.00108,0.523,0.201,0.148,123.008,291.785
Pop,Dance Pop,0.608,0.918,C,-1.137,Minor,0.0684,0.199,0,0.309,0.422,126.022,182
Pop,Dance Pop,0.561,0.562,A,-11.431,Minor,0.15,0.062,0,0.118,0.244,151.631,242.385
Pop,Dance Pop,0.591,0.88,E,-5.153,Minor,0.223,0.0804,0,0.326,0.482,127.013,177.638
Pop,Dance Pop,0.626,0.8,C sharp/D flat,-3.988,Minor,0.035,0.0267,1.38e-4,0.0623,0.258,127.966,160.184
Pop,Dance Pop,0.745,0.8,B,-5.606,Minor,0.0361,0.0209,4.79e-4,0.113,0.314,122.008,204.693
Pop,Dance Pop,0.66,0.857,D,-5.219,Major,0.321,0.167,1.36e-5,0.119,0.233,130.069,225.16
Pop,Dance Pop,0.53,0.729,C,-6.019,Major,0.0376,0.00699,0,0.103,0.219,139.929,238.338
Pop,Dance Pop,0.552,0.887,C sharp/D flat,-3.812,Major,0.147,0.0457,0.0207,0.0903,0.783,125.229,131.204
Pop,Dance Pop,0.471,0.911,D,-4.372,Minor,0.0594,0.0316,0.00648,0.571,0.197,126.112,170
Pop,Dance Pop,0.747,0.776,A sharp/B flat,-5.898,Minor,0.0722,0.0233,1.38e-5,0.761,0.67,125.07,147.027
Pop,Dance Pop,0.712,0.664,B,-8.026,Major,0.0345,0.0416,1.04e-4,0.0668,0.781,122.014,204.514
Pop,Dance Pop,0.733,0.859,A,-5.03,Minor,0.033,0.479,0.0645,0.105,0.52,124.948,147.84
Pop,Dance Pop,0.517,0.793,F sharp/G flat,-5.851,Minor,0.0367,0.0214,4.6e-4,0.0892,0.176,90.06,157.333
Pop,Dance Pop,0.675,0.674,E,-6.329,Major,0.0372,0.00339,8.55e-5,0.279,0.414,125.037,200.64
Pop,Dance Pop,0.818,0.823,B,-3.563,Minor,0.2,0.0663,1.17e-5,0.133,0.52,128.136,160.794
Pop,Dance Pop,0.639,0.591,G,-3.905,Minor,0.0344,0.128,6.69e-6,0.159,0.305,128.002,225
Pop,Dance Pop,0.535,0.906,F sharp/G flat,-4.699,Minor,0.0353,0.0202,7.15e-4,0.0886,0.732,126.012,178.671
Pop,Dance Pop,0.784,0.721,G sharp/A flat,-5.457,Major,0.0506,0.0149,0.00424,0.285,0.895,121.966,176.219
