"Genre","SubGenre","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Duration"
"Rap","Southern Hip-Hop",0.521,0.625,"Csharp/Dflat",-7.47,"Major",0.067,0.0301,0,0.121,0.136,101.019,334.067
"Latin","Reggaeton",0.667,0.746,"Csharp/Dflat",-4.151,"Major",0.0711,0.499,0,0.316,0.962,149.982,188.4
"EDM","Pop EDM",0.65,0.824,"F",-4.948,"Minor",0.0435,0.156,0,0.0819,0.217,90.004,186.667
"EDM","Electro House",0.319,0.902,"Gsharp/Aflat",-2.703,"Minor",0.065,0.0486,0,0.307,0.225,152.019,194.211
"Rap","Southern Hip-Hop",0.445,0.67,"B",-4.973,"Major",0.0328,0.117,0,0.0595,0.378,74.049,216.143
"Rock","Classic Rock",0.592,0.397,"D",-10.81,"Minor",0.0676,0.354,0.000894,0.119,0.205,150.038,185.293
"R&B","Hip-Pop",0.764,0.815,"Csharp/Dflat",-7.851,"Major",0.284,0.104,0.0852,0.106,0.565,90.834,205.493
"Rap","Gangster Rap",0.841,0.653,"G",-7.875,"Major",0.137,0.0403,0.000257,0.143,0.37,127.013,139.842
"EDM","Electro House",0.698,0.895,"Asharp/Bflat",-5.062,"Minor",0.369,0.152,0.569,0.32,0.654,180.027,178.667
"Latin","Latin Hip-Hop",0.606,0.361,"A",-16.031,"Major",0.0346,0.264,3.39e-05,0.38,0.621,121.058,173.467
"Latin","Reggaeton",0.73,0.863,"Csharp/Dflat",-5.082,"Major",0.154,0.0373,0,0.491,0.818,170.014,237.973
"Pop","Indie Poptimism",0.623,0.355,"Fsharp/Gflat",-7.328,"Major",0.0388,0.731,0,0.098,0.647,159.965,149.974
"Pop","Electropop",0.659,0.604,"Gsharp/Aflat",-5.084,"Major",0.0542,0.0889,0,0.105,0.407,126.135,190.643
"Rap","Southern Hip-Hop",0.783,0.464,"Asharp/Bflat",-8.122,"Minor",0.293,0.0187,0.21,0.0699,0.261,128.138,243.413
"Rock","Permanent Wave",0.536,0.932,"Gsharp/Aflat",-4.11,"Major",0.0436,0.00483,2.02e-05,0.105,0.755,121.004,159.587
"Rap","Southern Hip-Hop",0.889,0.466,"Csharp/Dflat",-10.74,"Major",0.36,0.0846,7.44e-06,0.384,0.403,100.17,177.067
"Latin","Tropical",0.708,0.667,"Gsharp/Aflat",-7.934,"Major",0.0418,0.253,0.000692,0.0878,0.634,115.987,339.31
"EDM","Progessive Electro House",0.698,0.622,"Asharp/Bflat",-5.002,"Major",0.207,0.0033,0,0.518,0.512,128.059,212.048
"Pop","Electropop",0.658,0.804,"C",-5.735,"Major",0.0377,0.00463,0,0.178,0.508,120.047,205.793
"Pop","Dance Pop",0.787,0.722,"G",-5.43,"Major",0.0395,0.0489,0,0.0956,0.52,127.952,218.357
"Latin","Latin Hip-Hop",0.887,0.422,"D",-8.578,"Major",0.235,0.241,0,0.0694,0.469,100.108,132
"Latin","Reggaeton",0.776,0.769,"A",-4.543,"Minor",0.0761,0.202,0,0.335,0.721,175.999,223.004
"Rap","Trap",0.813,0.565,"C",-8.692,"Major",0.106,0.736,0,0.125,0.49,99.984,213
"EDM","Progessive Electro House",0.76,0.927,"Fsharp/Gflat",-7.898,"Minor",0.0786,0.0042,0.862,0.242,0.429,128.001,500
"EDM","Big Room",0.757,0.885,"G",-5.109,"Minor",0.146,0.000921,0.919,0.0484,0.258,128.009,225
"Rock","Hard Rock",0.451,0.598,"D",-5.612,"Minor",0.0247,0.0197,0.00253,0.101,0.268,98.709,231.987
"Latin","Latin Pop",0.801,0.613,"F",-7.078,"Major",0.0477,0.0349,0.296,0.107,0.272,123.991,310.161
"Rock","Classic Rock",0.673,0.805,"D",-8.797,"Major",0.0369,0.397,0,0.131,0.82,96.004,169.307
"Rock","Classic Rock",0.446,0.598,"D",-11.264,"Minor",0.0363,0.0112,0,0.057,0.778,124.251,247.373
"Rock","Hard Rock",0.35,0.773,"A",-5.632,"Major",0.036,0.0039,0.394,0.0557,0.491,167.4,209.693
"Rock","Permanent Wave",0.613,0.942,"C",-3.268,"Major",0.0547,0.0299,0,0.246,0.802,144.044,197.68
"EDM","Pop EDM",0.675,0.836,"D",-5.261,"Minor",0.113,0.332,1.31e-06,0.338,0.889,119.947,197.898
"Rap","Trap",0.478,0.94,"Asharp/Bflat",-4.912,"Minor",0.0637,0.000245,0.847,0.116,0.273,149.994,284.8
"EDM","Big Room",0.647,0.991,"A",-3.143,"Minor",0.0517,0.0586,0.0159,0.0808,0.801,125.062,153.663
"Rock","Hard Rock",0.373,0.991,"G",-2.101,"Major",0.214,0.000157,1.29e-06,0.162,0.316,197.973,257.836
"R&B","Hip-Pop",0.558,0.632,"A",-8.339,"Minor",0.284,0.832,0.105,0.198,0.519,161.764,211.2
"Latin","Tropical",0.653,0.91,"Asharp/Bflat",-3.36,"Major",0.0566,0.0079,0,0.318,0.0921,126.047,234.286
"Latin","Latin Pop",0.587,0.639,"G",-8.065,"Major",0.0357,0.395,0,0.68,0.789,116.499,249.307
"Pop","Post-Teen Pop",0.781,0.738,"B",-5.579,"Minor",0.0562,0.141,0.00243,0.093,0.968,130.008,162.387
"Latin","Tropical",0.78,0.57,"B",-8.207,"Minor",0.0467,0.218,0.00015,0.0955,0.277,124.98,200.743
"EDM","Pop EDM",0.756,0.567,"B",-8.244,"Minor",0.0487,0.00173,0.0855,0.069,0.626,121.999,245.501
"Pop","Dance Pop",0.767,0.477,"G",-8.318,"Minor",0.0475,0.0383,7.15e-05,0.156,0.556,123.015,170
"EDM","Progessive Electro House",0.78,0.938,"C",-4.034,"Major",0.0791,0.071,0.144,0.154,0.407,127,221.236
"Rap","Trap",0.624,0.68,"A",-7.285,"Minor",0.0421,0.114,6.78e-05,0.0614,0.117,91.998,177.152
"EDM","Pop EDM",0.705,0.674,"B",-8.432,"Minor",0.04,0.0184,0.0149,0.137,0.103,105,341.802
"Latin","Latin Hip-Hop",0.85,0.639,"Gsharp/Aflat",-7.456,"Minor",0.311,0.457,0,0.24,0.604,93.989,209.453
"R&B","Neo Soul",0.331,0.607,"C",-4.786,"Major",0.0676,0.0812,1.59e-05,0.23,0.118,158.737,243.213
"Rock","Classic Rock",0.42,0.764,"Asharp/Bflat",-4.194,"Major",0.0621,0.126,0,0.272,0.447,89.566,272.48
"EDM","Electro House",0.737,0.828,"B",-4.711,"Major",0.0396,0.0149,0.000583,0.0862,0.517,124.052,208.474
"R&B","Hip-Pop",0.761,0.639,"F",-7.577,"Minor",0.0539,0.0359,0,0.0945,0.922,164.088,219.12
"R&B","Urban Contemporary",0.876,0.44,"Asharp/Bflat",-8.945,"Minor",0.28,0.173,1.22e-06,0.129,0.287,139.882,161.881
"Pop","Dance Pop",0.468,0.968,"D",-4.083,"Major",0.0478,0.0224,0.922,0.194,0.284,129.998,199.245
"R&B","Urban Contemporary",0.406,0.965,"B",-4.193,"Minor",0.693,0.189,0,0.0988,0.563,174.177,236.36
"Rock","Classic Rock",0.445,0.955,"Gsharp/Aflat",-8.027,"Major",0.0856,0.0326,0.284,0.317,0.336,123.343,273.6
"EDM","Progessive Electro House",0.699,0.797,"Csharp/Dflat",-7.567,"Major",0.0403,0.000633,0.821,0.0891,0.251,122.003,499.647
"Latin","Latin Hip-Hop",0.777,0.712,"Asharp/Bflat",-4.84,"Major",0.277,0.217,0,0.091,0.68,95.692,175.733
"Latin","Latin Pop",0.69,0.513,"Gsharp/Aflat",-8.437,"Major",0.126,0.668,0,0.37,0.699,155.041,175.56
"EDM","Pop EDM",0.554,0.864,"D",-4.403,"Major",0.0889,0.00166,0,0.119,0.305,126.975,201.26
"Latin","Latin Hip-Hop",0.4,0.915,"C",-4.89,"Major",0.28,0.0846,0,0.0503,0.878,88.917,198.773
"Latin","Latin Hip-Hop",0.526,0.801,"Fsharp/Gflat",-6.498,"Minor",0.0299,0.000497,0.000115,0.0967,0.293,133.966,333.333
"EDM","Electro House",0.506,0.726,"F",-5.964,"Minor",0.0366,0.00308,8.05e-05,0.266,0.266,128.044,204.418
"Rock","Classic Rock",0.709,0.278,"E",-13.011,"Minor",0.0353,0.46,0.00719,0.098,0.458,141.268,202.4
"Rock","Album Rock",0.687,0.375,"E",-9.601,"Major",0.0536,0.286,0,0.133,0.45,83.642,210.48
"EDM","Electro House",0.549,0.809,"A",-9.103,"Major",0.0505,0.0608,0.876,0.114,0.526,124.991,376.81
"Rap","Trap",0.936,0.592,"G",-6.878,"Minor",0.144,0.014,0,0.137,0.24,124.996,255.379
"Rap","Southern Hip-Hop",0.931,0.39,"Gsharp/Aflat",-6.134,"Major",0.0594,0.159,0,0.0812,0.806,96.006,300.44
"Latin","Latin Hip-Hop",0.863,0.84,"Csharp/Dflat",-3.7,"Minor",0.0587,0.158,0,0.368,0.934,109.977,200.973
"Pop","Indie Poptimism",0.785,0.412,"C",-8.121,"Minor",0.25,0.696,1.45e-05,0.142,0.513,143.099,216.284
"Pop","Indie Poptimism",0.747,0.537,"E",-8.452,"Minor",0.0335,0.0774,0.00108,0.0968,0.337,97.016,213.582
"Pop","Dance Pop",0.692,0.726,"Gsharp/Aflat",-5.598,"Major",0.035,0.0204,0,0.0659,0.437,99.982,207.6
"Pop","Post-Teen Pop",0.729,0.475,"Gsharp/Aflat",-4.985,"Major",0.0364,0.378,0,0.12,0.371,62.52,212.267
"R&B","Urban Contemporary",0.376,0.67,"Asharp/Bflat",-9.273,"Major",0.0854,0.0727,2.52e-06,0.0718,0.837,185.503,169.293
"EDM","Pop EDM",0.666,0.723,"Csharp/Dflat",-6.164,"Major",0.268,0.0109,0.00047,0.0507,0.739,192.024,210.893
"EDM","Progessive Electro House",0.642,0.735,"Fsharp/Gflat",-7.71,"Minor",0.0701,0.00408,0.441,0.379,0.292,127.979,364
"Latin","Reggaeton",0.772,0.725,"Fsharp/Gflat",-6.183,"Major",0.121,0.077,1.19e-05,0.0706,0.974,191.948,246.519
"R&B","Urban Contemporary",0.689,0.562,"G",-7.048,"Minor",0.0637,0.0656,0,0.0885,0.21,133.987,291.133
"Pop","Dance Pop",0.676,0.996,"A",-7.946,"Minor",0.0397,0.0478,0.262,0.333,0.4,132.871,336.84
"R&B","Hip-Pop",0.762,0.7,"A",-6.021,"Minor",0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209.32
"Pop","Post-Teen Pop",0.493,0.895,"D",-6.925,"Major",0.038,4.46e-05,0,0.0878,0.387,96.031,218.28
"Pop","Dance Pop",0.725,0.685,"C",-5.292,"Major",0.0938,0.00423,0,0.0552,0.612,109.952,220.088
"Rock","Permanent Wave",0.556,0.913,"C",-2.36,"Major",0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282.16
"Rap","Hip-Hop",0.706,0.913,"B",-3.284,"Minor",0.139,0.115,0,0.256,0.712,149.886,215.8
"Rap","Trap",0.666,0.649,"Fsharp/Gflat",-4.06,"Major",0.035,0.611,0,0.112,0.158,144.892,158.897
"EDM","Big Room",0.621,0.943,"G",-2.972,"Major",0.054,0.00258,0.859,0.0387,0.296,127.99,272.483
"R&B","New Jack Swing",0.843,0.469,"D",-7.368,"Major",0.0539,0.00589,0,0.0932,0.767,99.488,246.347
"R&B","Neo Soul",0.638,0.569,"Gsharp/Aflat",-7.759,"Minor",0.0976,0.706,0.000892,0.111,0.757,95.951,183.125
"Rap","Trap",0.756,0.71,"E",-6.499,"Minor",0.107,0.423,1.16e-05,0.1,0.46,117.064,182.564
"Rock","Album Rock",0.345,0.998,"Gsharp/Aflat",1.275,"Major",0.229,0.0756,1.76e-05,0.108,0.28,154.85,256.067
"Latin","Reggaeton",0.498,0.782,"Gsharp/Aflat",-4.277,"Major",0.143,0.409,0,0.121,0.835,83.997,211.429
"Pop","Electropop",0.576,0.291,"Asharp/Bflat",-9.919,"Minor",0.108,0.773,0.908,0.205,0.201,89.529,253.612
"EDM","Electro House",0.7,0.882,"E",-9.55,"Major",0.0529,0.0206,0.862,0.081,0.243,129.995,238.147
"Rock","Hard Rock",0.716,0.658,"E",-8.164,"Minor",0.0689,0.167,0,0.0959,0.683,150.029,134.4
"Latin","Reggaeton",0.715,0.745,"A",-6.265,"Minor",0.187,0.192,1.13e-05,0.0807,0.802,191.985,220
"Rock","Hard Rock",0.417,0.844,"Gsharp/Aflat",-4.532,"Minor",0.0505,7.58e-05,0.00364,0.0444,0.666,156.928,206.178
"Latin","Tropical",0.816,0.512,"C",-11.276,"Minor",0.0488,0.033,0.0752,0.0983,0.659,126.974,213.176
"Pop","Post-Teen Pop",0.613,0.889,"E",-3.641,"Major",0.055,0.0192,0,0.0937,0.335,131.936,231.293
"EDM","Big Room",0.377,0.926,"E",-4.385,"Minor",0.0683,0.00144,0.769,0.0827,0.0342,130.163,180.923
"R&B","Neo Soul",0.705,0.347,"Asharp/Bflat",-11.898,"Major",0.0726,0.672,0.0144,0.103,0.299,88.984,213.077
"EDM","Big Room",0.485,0.948,"B",-3.293,"Minor",0.0638,0.0531,0.0511,0.266,0.571,124.764,151.68
"EDM","Big Room",0.674,0.911,"Fsharp/Gflat",-4.269,"Major",0.272,0.00155,8.84e-05,0.358,0.142,128.044,145.313
"Rap","Hip-Hop",0.542,0.674,"Fsharp/Gflat",-4.169,"Major",0.21,0.0588,0,0.0955,0.667,76.388,196.76
"Rock","Classic Rock",0.668,0.906,"B",-4.881,"Minor",0.17,0.214,0.00229,0.135,0.507,135.653,231.933
"Rock","Classic Rock",0.397,0.343,"Gsharp/Aflat",-10.609,"Minor",0.0396,0.12,0.042,0.364,0.443,127.7,323.267
"R&B","Urban Contemporary",0.632,0.717,"C",-8.307,"Major",0.039,0.138,0.00149,0.0685,0.77,153.942,318.84
"EDM","Pop EDM",0.262,0.606,"Gsharp/Aflat",-6.646,"Major",0.0484,0.247,0,0.125,0.275,189.857,252.534
